Species,Genus,Subfamily,Family,Order
Acaronia nassa,Acaronia,Cichlasomatinae,Cichlidae,Cichliformes
Acestridium sp.,Acestridium,Hypoptopomatinae,Loricariidae,Siluriformes
Acestrorhynchus falcatus,Acestrorhynchus,,Acestrorhynchidae,Characiformes
Acestrorhynchus falcirostris,Acestrorhynchus,,Acestrorhynchidae,Characiformes
Aequidens tetramerus,Aequidens,Cichlasomatinae,Cichlidae,Cichliformes
Anablepsoides sp.,Anablepsoides,,Rivulidae,Cyprinodontiformes
Ancistrus sp.,Ancistrus,Hypostominae,Loricariidae,Siluriformes
Apistogramma agassizii,Apistogramma,Geophaginae,Cichlidae,Cichliformes
Apistogramma regani,Apistogramma,Geophaginae,Cichlidae,Cichliformes
Astyanax bimaculatus,Astyanax,Stethaprioninae,Characidae,Characiformes
Batrochoglanis raninus,Batrochoglanis,,Pseudopimelodidae,Siluriformes
Brachyhypopomus brevirostris,Brachyhypopomus,,Hypopomidae,Gymnotiformes
Brachyhypopomus pinnicaudautus,Brachyhypopomus,,Hypopomidae,Gymnotiformes
Bryconops cf. caudomaculatus,Bryconops,,Iguanodectidae,Characiformes
Bunocephalus sp.,Bunocephalus,,Aspredinidae,Siluriformes
Callichthys callichthys,Callichthys,,Callichthyidae,Siluriformes
Carnegiella strigata,Carnegiella,,Gasteropelecidae,Characiformes
Characidium etheostoma,Characidium,Characidiinae,Crenuchidae,Characiformes
Charax pauciradiatus,Charax,Characinae,Characidae,Characiformes
Chilodus punctatus,Chilodus,,Chilodontidae,Characiformes
Copella arnoldi,Copella,Pyrrhulininae,Lebiasinidae,Characiformes
Corydoras acutus,Corydoras,,Callichthyidae,Siluriformes
Crenicichla gr. saxatilis,Crenicichla,Cichlinae,Cichlidae,Cichliformes
Curimatopsis crypticus,Curimatopsis,,Curimatidae,Characiformes
Denticetopsis epa,Denticetopsis,Cetopsinae,Cetopsidae,Siluriformes
Eigenmannia cf. pavulagem,Eigenmannia,,Sternopygidae,Gymnotiformes
Erythrinus erythrinus,Erythrinus,,Erythrinidae,Characiformes
Farlowella amazonum,Farlowella,Loricariinae,Loricariidae,Siluriformes
Gymnorhamphichthys rondoni,Gymnorhamphichthys,,Rhamphichthyidae,Gymnotiformes
Gymnotus carapo,Gymnotus,,Gymnotidae,Gymnotiformes
Helogenes marmoratus,Helogenes,Helogeninae,Cetopsidae,Siluriformes
Hemibrycon sp.,Hemibrycon,Tetragonopterinae,Characidae,Characiformes
Hemigrammus bellottii,Hemigrammus,Stethaprioninae,Characidae,Characiformes
Hemigrammus guyanensis,Hemigrammus,Stethaprioninae,Characidae,Characiformes
Hemigrammus ocellifer,Hemigrammus,Stethaprioninae,Characidae,Characiformes
Hemigrammus rodwayi,Hemigrammus,Stethaprioninae,Characidae,Characiformes
Heros severus,Heros,Cichlasomatinae,Cichlidae,Cichliformes
Hoplerythrinus unitaeniatus,Hoplerythrinus,,Erythrinidae,Characiformes
Hoplias malabaricus,Hoplias,,Erythrinidae,Characiformes
Hyphessobrycon haraldschultzi,Hyphessobrycon,Tetragonopterinae,Characidae,Characiformes
Hyphessobrycon heterorhabdus,Hyphessobrycon,Tetragonopterinae,Characidae,Characiformes
Hypopygus lepturus,Hypopygus,,Hypopomidae,Gymnotiformes
Iguanodectes rachovii,Iguanodectes,,Iguanodectidae,Characiformes
Ituglanis amazonicus,Ituglanis,Trichomycterinae,Trichomycteridae,Siluriformes
Jupiaba anteroides,Jupiaba,Stethaprioninae,Characidae,Characiformes
Knodus cf. victoriae,Knodus,Stevardiinae,Characidae,Characiformes
Knodus sp.,Knodus,Stevardiinae,Characidae,Characiformes
Leporinus octomaculatus,Leporinus,,Anostomidae,Characiformes
Mastiglanis asopos,Mastiglanis,,Heptapteridae,Siluriformes
Megalechis picta,Megalechis,,Callichthyidae,Siluriformes
Microcharacidium weitzmani,Microcharacidium,Characidiinae,Crenuchidae,Characiformes
Microschemobrycon elongatus,Microschemobrycon,Aphyoditeinae,Characidae,Characiformes
Microsternarchus aff. bilineatus,Microsternarchus,,Hypopomidae,Gymnotiformes
Moenkhausia aff. mikia,Moenkhausia,Tetragonopterinae,Characidae,Characiformes
Moenkhausia cf. melogramma,Moenkhausia,Tetragonopterinae,Characidae,Characiformes
Moenkhausia collettii,Moenkhausia,Tetragonopterinae,Characidae,Characiformes
Moenkhausia comma,Moenkhausia,Tetragonopterinae,Characidae,Characiformes
Moenkhausia oligolepis,Moenkhausia,Tetragonopterinae,Characidae,Characiformes
Moenkhausia sp.,Moenkhausia,Tetragonopterinae,Characidae,Characiformes
Paracanthopoma parva,Paracanthopoma,Vandelliinae,Trichomycteridae,Siluriformes
Phenacogaster pectinatus,Phenacogaster,Characinae,Characidae,Characiformes
Phenacorhamdia sp.,Phenacorhamdia,,Heptapteridae,Siluriformes
Pimelodella sp.,Pimelodella,,Heptapteridae,Siluriformes
Poecilia cf. parae,Poecilia,Poeciliinae,Poeciliidae,Cyprinodontiformes
Poptella compressus,Poptella,Poeciliinae,Poeciliidae,Cyprinodontiformes
Potamoglanis hasemani,Potamoglanis,Tridentinae,Trichomycteridae,Siluriformes
Potamorrhaphis eigenmanni,Potamorrhaphis,,Belonidae,Beloniformes
Pyrrhulina capim,Pyrrhulina,Pyrrhulininae,Lebiasinidae,Characiformes
Rhamdia muelleri,Rhamdia,,Pimelodidae,Siluriformes
Rineloricaria hasemani,Rineloricaria,Loricariinae,Loricariidae,Siluriformes
Satanoperca jurupari,Satanoperca,Geophaginae,Cichlidae,Cichliformes
Steatogenys sp.,Steatogenys,,Hypopomidae,Gymnotiformes
Sternopygus macrurus,Sternopygus,,Sternopygidae,Gymnotiformes
Synbranchus marmoratus,Synbranchus,,Synbranchidae,Synbranchiformes
Synbranchus sp.,Synbranchus,,Synbranchidae,Synbranchiformes
